Wavelength_Angs Flux(erg/s/cm2/A)
3.538082862963151911e+03 9.981499984860420227e-03
3.538897630448927430e+03 1.011160016059875488e-02
3.539712585563453558e+03 1.036209985613822937e-02
3.540527728349931749e+03 1.022330019623041153e-02
3.541343058851587102e+03 1.007809955626726151e-02
3.542158577111640625e+03 9.952899999916553497e-03
3.542974283173336971e+03 1.003799960017204285e-02
3.543790177079917157e+03 1.015060022473335266e-02
3.544606258874646301e+03 1.023459993302822113e-02
3.545422528600784972e+03 1.036879979074001312e-02
3.546238986301617842e+03 1.028210017830133438e-02
3.547055632020425946e+03 1.028909999877214432e-02
3.547872465800514419e+03 1.015849970281124115e-02
3.548689487685182939e+03 1.020419970154762268e-02
3.549506697717756651e+03 1.036159973591566086e-02
3.550324095941559790e+03 1.036200020462274551e-02
3.551141682399926594e+03 1.033399999141693115e-02
3.551959457136211313e+03 1.044350024312734604e-02
3.552777420193764556e+03 1.029129978269338608e-02
3.553595571615961489e+03 1.011949963867664337e-02
3.554413911446171824e+03 1.010920014232397079e-02
3.555232439727790734e+03 1.009569969028234482e-02
3.556051156504208393e+03 1.013229973614215851e-02
3.556870061818839531e+03 1.030560024082660675e-02
3.557689155715094785e+03 1.028340030461549759e-02
3.558508438236407983e+03 1.032439991831779480e-02
3.559327909426210681e+03 1.051789987832307816e-02
3.560147569327956717e+03 1.038079988211393356e-02
3.560967417985096745e+03 1.027979981154203415e-02
3.561787455441105521e+03 1.047910004854202271e-02
3.562607681739453255e+03 1.044940017163753510e-02
3.563428096923634712e+03 1.061339955776929855e-02
3.564248701037140108e+03 1.052279956638813019e-02
3.565069494123484674e+03 1.018679980188608170e-02
3.565890476226182727e+03 9.861899539828300476e-03
3.566711647388757228e+03 9.740400128066539764e-03
3.567533007654753874e+03 1.002249959856271744e-02
3.568354557067712449e+03 1.015680003911256790e-02
3.569176295671198659e+03 1.011370029300451279e-02
3.569998223508772753e+03 9.795499965548515320e-03
3.570820340624019536e+03 9.679099544882774353e-03
3.571642647060519721e+03 9.852300398051738739e-03
3.572465142861878121e+03 1.001449953764677048e-02
3.573287828071695913e+03 1.015369966626167297e-02
3.574110702733597918e+03 1.019669976085424423e-02
3.574933766891204868e+03 1.012049987912178040e-02
3.575757020588162504e+03 1.011629961431026459e-02
3.576580463868111110e+03 1.025819964706897736e-02
3.577404096774715981e+03 1.047420036047697067e-02
3.578227919351638320e+03 1.052269991487264633e-02
3.579051931642563886e+03 1.042860001325607300e-02
3.579876133691172981e+03 1.021290011703968048e-02
3.580700525541171828e+03 9.930100291967391968e-03
3.581525107236261192e+03 9.735699743032455444e-03
3.582349878820167305e+03 9.863000363111495972e-03
3.583174840336614579e+03 1.012500002980232239e-02
3.583999991829338342e+03 1.016340032219886780e-02
3.584825333342094382e+03 9.995000436902046204e-03
3.585650864918634397e+03 9.775600396096706390e-03
3.586476586602734187e+03 9.474799968302249908e-03
3.587302498438165458e+03 9.546799585223197937e-03
3.588128600468724926e+03 9.731699712574481964e-03
3.588954892738203853e+03 9.748799726366996765e-03
3.589781375290418964e+03 1.002960000187158585e-02
3.590608048169181984e+03 1.020519994199275970e-02
3.591434911418330103e+03 1.039229985326528549e-02
3.592261965081694598e+03 1.062500011175870895e-02
3.593089209203133123e+03 1.053069997578859329e-02
3.593916643826497875e+03 1.052630040794610977e-02
3.594744268995665607e+03 1.047750003635883331e-02
3.595572084754508978e+03 1.058510039001703262e-02
3.596400091146925206e+03 1.076630037277936935e-02
3.597228288216807414e+03 1.091239973902702332e-02
3.598056676008072372e+03 1.104229968041181564e-02
