Wavelength_Angs Flux(erg/s/cm2/A) flux_err
3.863668701171875000e+03 1.527160072326660156e+01 3.984749317169189453e-01
3.864559814453125000e+03 1.451085376739501953e+01 3.965066671371459961e-01
3.865448730468750000e+03 1.353744220733642578e+01 3.983497023582458496e-01
3.866340087890625000e+03 1.299380207061767578e+01 4.072018563747406006e-01
3.867229736328125000e+03 1.198529529571533203e+01 4.171859025955200195e-01
3.868121337890625000e+03 1.379674530029296875e+01 4.159295558929443359e-01
3.869011230468750000e+03 1.467923355102539062e+01 4.116424322128295898e-01
3.869901367187500000e+03 1.398744487762451172e+01 4.158643484115600586e-01
3.870793701171875000e+03 1.460814476013183594e+01 4.194748997688293457e-01
3.871684082031250000e+03 1.304080772399902344e+01 4.243300259113311768e-01
3.872576904296875000e+03 1.551667213439941406e+01 4.153202474117279053e-01
3.873467773437500000e+03 1.122503852844238281e+01 4.369903802871704102e-01
3.874361083984375000e+03 1.682337379455566406e+01 4.200847148895263672e-01
3.875252441406250000e+03 1.181562423706054688e+01 4.301992058753967285e-01
3.876143798828125000e+03 1.057405281066894531e+01 4.357815980911254883e-01
3.877037597656250000e+03 1.290971946716308594e+01 4.404790103435516357e-01
3.877929687500000000e+03 1.323984718322753906e+01 4.483123421669006348e-01
3.878823730468750000e+03 1.384819793701171875e+01 4.444151222705841064e-01
3.879716064453125000e+03 1.606175804138183594e+01 4.312463402748107910e-01
3.880610839843750000e+03 1.738852882385253906e+01 4.175079464912414551e-01
3.881503662109375000e+03 1.581262493133544922e+01 4.222787022590637207e-01
3.882396484375000000e+03 1.729925727844238281e+01 4.103549420833587646e-01
3.883291748046875000e+03 1.661060142517089844e+01 4.088256061077117920e-01
3.884185058593750000e+03 1.475848388671875000e+01 4.106940329074859619e-01
3.885080810546875000e+03 1.697006225585937500e+01 4.111680090427398682e-01
3.885974609375000000e+03 1.454676151275634766e+01 4.322080314159393311e-01
3.886870605468750000e+03 1.022312927246093750e+01 4.613204896450042725e-01
3.887764892578125000e+03 1.078695106506347656e+01 4.703158438205718994e-01
3.888659179687500000e+03 1.530553054809570312e+01 4.571405649185180664e-01
3.889555908203125000e+03 2.494935035705566406e+01 4.092738032341003418e-01
3.890450683593750000e+03 1.746751022338867188e+01 4.385901987552642822e-01
3.891347900390625000e+03 1.299632167816162109e+01 4.551187455654144287e-01
3.892242919921875000e+03 1.302108001708984375e+01 4.493946135044097900e-01
3.893140625000000000e+03 1.431525611877441406e+01 4.417522251605987549e-01
3.894036132812500000e+03 1.585473823547363281e+01 4.346199631690979004e-01
3.894934082031250000e+03 1.456530475616455078e+01 4.353654980659484863e-01
3.895830078125000000e+03 1.368502902984619141e+01 4.400564432144165039e-01
3.896726318359375000e+03 1.353169536590576172e+01 4.412629902362823486e-01
3.897625000000000000e+03 1.093371295928955078e+01 4.500874876976013184e-01
3.898521484375000000e+03 1.520099353790283203e+01 4.323825836181640625e-01
3.899420654296875000e+03 1.396477413177490234e+01 4.450808465480804443e-01
3.900317626953125000e+03 1.035381126403808594e+01 4.660772681236267090e-01
3.901217041015625000e+03 8.835676193237304688e+00 4.720345437526702881e-01
3.902114501953125000e+03 1.421747875213623047e+01 4.508768618106842041e-01
3.903012207031250000e+03 1.355384063720703125e+01 4.491493105888366699e-01
3.903912109375000000e+03 1.746762466430664062e+01 4.377840757369995117e-01
3.904810302734375000e+03 2.107850646972656250e+01 4.168707132339477539e-01
3.905710693359375000e+03 1.401912021636962891e+01 4.303059577941894531e-01
3.906609375000000000e+03 1.325410366058349609e+01 4.277482330799102783e-01
3.907510009765625000e+03 1.255594444274902344e+01 4.264406561851501465e-01
3.908408935546875000e+03 9.505437850952148438e+00 4.549556076526641846e-01
3.909308105468750000e+03 1.013552284240722656e+01 4.620093405246734619e-01
3.910209716796875000e+03 1.578272342681884766e+01 4.556876122951507568e-01
3.911109130859375000e+03 1.502011108398437500e+01 4.502283334732055664e-01
3.912010986328125000e+03 1.185405063629150391e+01 4.405339956283569336e-01
3.912911132812500000e+03 1.471597194671630859e+01 4.138040244579315186e-01
3.913813232421875000e+03 1.651913452148437500e+01 3.912198245525360107e-01
3.914713623046875000e+03 1.190734100341796875e+01 4.037782251834869385e-01
3.915614257812500000e+03 1.191639995574951172e+01 4.255685508251190186e-01
3.916517089843750000e+03 1.312031936645507812e+01 4.368585348129272461e-01
3.917418212890625000e+03 2.009290885925292969e+01 4.239131212234497070e-01
3.918321533203125000e+03 1.627546501159667969e+01 4.402358233928680420e-01
3.919222900390625000e+03 1.181577301025390625e+01 4.535019397735595703e-01
3.920126708984375000e+03 1.383059501647949219e+01 4.523072838783264160e-01
3.921028564453125000e+03 1.606232452392578125e+01 4.572490155696868896e-01
3.921930664062500000e+03 1.746569061279296875e+01 4.624162614345550537e-01
3.922834960937500000e+03 1.781286811828613281e+01 4.681272804737091064e-01
3.923737304687500000e+03 1.508559608459472656e+01 4.863940477371215820e-01
3.924642089843750000e+03 1.289332008361816406e+01 5.025789141654968262e-01
