Wavelength_Angs Flux(erg/s/cm2/A)
3.580700525541171828e+03 3.491099923849105835e-03
3.581525107236261192e+03 3.345099976286292076e-03
3.582349878820167305e+03 3.252800088375806808e-03
3.583174840336614579e+03 3.214200027287006378e-03
3.583999991829338342e+03 3.197999903932213783e-03
3.584825333342094382e+03 3.174799960106611252e-03
3.585650864918634397e+03 3.151600016281008720e-03
3.586476586602734187e+03 3.151000011712312698e-03
3.587302498438165458e+03 3.222200088202953339e-03
3.588128600468724926e+03 3.372499952092766762e-03
3.588954892738203853e+03 3.584400052204728127e-03
3.589781375290418964e+03 3.820599988102912903e-03
3.590608048169181984e+03 4.110000096261501312e-03
3.591434911418330103e+03 4.355899989604949951e-03
3.592261965081694598e+03 4.579800181090831757e-03
3.593089209203133123e+03 4.735900089144706726e-03
3.593916643826497875e+03 4.813299980014562607e-03
3.594744268995665607e+03 4.946299828588962555e-03
3.595572084754508978e+03 5.116700194776058197e-03
3.596400091146925206e+03 5.267099943011999130e-03
3.597228288216807414e+03 5.425800103694200516e-03
3.598056676008072372e+03 5.555899813771247864e-03
3.598885254564637307e+03 5.653600208461284637e-03
3.599714023930428539e+03 5.669299978762865067e-03
3.600542984149394670e+03 5.599900148808956146e-03
3.601372135265477937e+03 5.497899837791919708e-03
3.602201477322646952e+03 5.314900074154138565e-03
3.603031010364865324e+03 5.083200056105852127e-03
3.603860734436120765e+03 4.835099913179874420e-03
3.604690649580398258e+03 4.692600108683109283e-03
3.605520755841705522e+03 4.593600053340196609e-03
3.606351053264046641e+03 4.481399897485971451e-03
3.607181541891450706e+03 4.432199988514184952e-03
3.608012221767941810e+03 4.380200058221817017e-03
3.608843092937569054e+03 4.307399969547986984e-03
3.609674155444377902e+03 4.252099897712469101e-03
3.610505409332436557e+03 4.288000054657459259e-03
3.611336854645810490e+03 4.389899782836437225e-03
3.612168491428589732e+03 4.521899856626987457e-03
3.613000319724858855e+03 4.686499945819377899e-03
3.613832339578728352e+03 4.782599862664937973e-03
3.614664551034303258e+03 4.876700229942798615e-03
3.615496954135714532e+03 4.931000061333179474e-03
3.616329548927091309e+03 4.914800170809030533e-03
3.617162335452573188e+03 4.786599893122911453e-03
3.617995313756321138e+03 4.564700182527303696e-03
3.618828483882491582e+03 4.367299843579530716e-03
3.619661845875265499e+03 4.270699806511402130e-03
3.620495399778819319e+03 4.320200067013502121e-03
3.621329145637354941e+03 4.514399915933609009e-03
3.622163083495069714e+03 4.790000151842832565e-03
3.622997213396184634e+03 5.033299792557954788e-03
3.623831535384917515e+03 5.278899800032377243e-03
3.624666049505510728e+03 5.495599936693906784e-03
3.625500755802202093e+03 5.686699878424406052e-03
3.626335654319253990e+03 5.881899967789649963e-03
3.627170745100924250e+03 6.000299938023090363e-03
3.628006028191496625e+03 5.992500111460685730e-03
3.628841503635248955e+03 5.844300147145986557e-03
3.629677171476485455e+03 5.565200001001358032e-03
3.630513031759503974e+03 5.212800111621618271e-03
3.631349084528629191e+03 4.837399814277887344e-03
3.632185329828179420e+03 4.600299987941980362e-03
3.633021767702500256e+03 4.541699774563312531e-03
3.633858398195934114e+03 4.556000232696533203e-03
3.634695221352834778e+03 4.673799965530633926e-03
3.635532237217577403e+03 4.846899770200252533e-03
3.636369445834532144e+03 5.050499923527240753e-03
3.637206847248094618e+03 5.257800221443176270e-03
3.638044441502654990e+03 5.462899804115295410e-03
3.638882228642629798e+03 5.654899869114160538e-03
3.639720208712429667e+03 5.793100222945213318e-03
3.640558381756491144e+03 5.867899861186742783e-03
3.641396747819245320e+03 5.815600045025348663e-03
3.642235306945150114e+03 5.715500097721815109e-03
3.643074059178656626e+03 5.583900026977062225e-03
3.643913004564242328e+03 5.376299843192100525e-03
3.644752143146380149e+03 5.191999953240156174e-03
3.645591474969567571e+03 5.049400031566619873e-03
3.646431000078297529e+03 4.903899971395730972e-03
3.647270718517088426e+03 4.797799978405237198e-03
3.648110630330453660e+03 4.769800230860710144e-03
3.648950735562932095e+03 4.776400048285722733e-03
3.649791034259061234e+03 4.898100160062313080e-03
3.650631526463389491e+03 5.098400171846151352e-03
3.651472212220486654e+03 5.344800185412168503e-03
3.652313091574916598e+03 5.580299999564886093e-03
3.653154164571270485e+03 5.814599804580211639e-03
3.653995431254132654e+03 6.010300014168024063e-03
3.654836891668114276e+03 6.138099823147058487e-03
3.655678545857821518e+03 6.264099851250648499e-03
3.656520393867884650e+03 6.390199996531009674e-03
3.657362435742930757e+03 6.506199948489665985e-03
3.658204671527611026e+03 6.608299911022186279e-03
3.659047101266573009e+03 6.696499884128570557e-03
3.659889725004488810e+03 6.717099808156490326e-03
3.660732542786025988e+03 6.695399992167949677e-03
3.661575554655877113e+03 6.631799973547458649e-03
3.662418760658730207e+03 6.538799963891506195e-03
3.663262160839299213e+03 6.455999799072742462e-03
3.664105755242292616e+03 6.381600163877010345e-03
3.664949543912444824e+03 6.319100037217140198e-03
